id,lat,lon,site_name,street_avenue
1,14.6596,121.0702,Lunar Coffee,Laurel Avenue
2,14.6597,121.0692,UCC Park Cafe,Laurel Avenue
3,14.6596,121.0689,Cafe Blanc,Laurel Avenue
4,14.6598,121.0684,Laya Coffee ,Roces Street
5,14.6597,121.0682,TOMO Coffee,J. P. Laurel Avenue
6,14.6595,121.0678,7 - R,J. P. Laurel Avenue
7,14.6596,121.0677,DOZ Coffee Bar,J. P. Laurel Avenue
8,14.6582,121.0672,Nomu Cafe,Balagtas Street
9,14.661,121.0728,What About Coffee? (WACO),Gomburza
10,14.6583,121.0734,Agenda Matcha,F. Ma. Guerrero Street
11,14.6595,121.0699,"But First, Coffee",Laurel Avenue
12,14.6595,121.0691,Zus Coffee,Laurel Avenue
13,14.6582,121.0667,Art Circle,Balagtas Street
14,14.6571,121.0647,Coffee Mama by Mama Rachel,Ylanan Street
15,14.6559,121.0645,KapeDal,Osmena Avenue
16,14.6487,121.0638,Klektik Cafe,Street Village A
17,14.6465,121.0639,Cafe Agape;,Lt. J. Francisco
18,14.6449,121.064,Red Cup Cafe,Lt. J. Francisco
19,14.6525,121.07,Wakey Cups,Quirino Avenue
20,14.6505,121.0634,IsKape,Village B
